_id,Title,Pass,Baidu,ChenTong,TianYi
38,kindle人精品资源区1-10打包下载,p3if,http://pan.baidu.com/s/1o8kwIka#p3if,,
60,kindle人精品资源区11-20打包下载,yyu7,http://pan.baidu.com/s/1dF4XPXB#yyu7,,
73,kindle人精品资源区21-30打包下载,7iam,http://pan.baidu.com/s/1gfHfcjx#7iam,,
74,kindle人精品资源区31-40打包下载,aqjw,http://pan.baidu.com/s/1jINK8CI#aqjw,,
75,kindle人精品资源区51-60打包下载,w3y4,http://pan.baidu.com/s/1mhUlMxa#w3y4,,
77,kindle人精品资源区61-78打包下载,f3w8,http://pan.baidu.com/s/1gfHKYSb#f3w8,,
79,kindle人全站资源分享-自购区0-7,pecf,http://pan.baidu.com/s/1i4P8mXJ,,
81,kindle人全站资源分享-自购区8-20,6ae2,http://pan.baidu.com/s/1o7PxZZW,,
84,kindle人全站资源分享-自购区21-40,inq7,http://pan.baidu.com/s/1kV51947,,
88,kindle人全站资源分享-自购区61-80,26qb,http://pan.baidu.com/s/1hsLgLdq#26qb,,
94,kindle人全站资源分享-自购区81-93,s4u4,http://pan.baidu.com/s/1boEpksv#s4u4,,
96,kindle人全站资源分享-自制区1-20,fi7t,http://pan.baidu.com/s/1hssa97I#fi7t,,
98,kindle人全站资源分享-自制区21-40,ij3r,http://pan.baidu.com/s/1kV2JMKJ#ij3r,,
100,kindle人全站资源分享-自制区41-60,zrpd,http://pan.baidu.com/s/1kV8P0QN#zrpd,,
102,kindle人全站资源分享-自制区61-85,hnxp,http://pan.baidu.com/s/1mim2JS8#hnxp,,
104,kindle人全站资源分享-合辑第一部分,dade,http://pan.baidu.com/s/1c1B5tmS#dade,,
106,kindle人全站资源分享-合辑第二部分,v95r,http://pan.baidu.com/s/1jIddzUY#v95r,,
108,kindle人全站资源分享-合辑第三部分,z4vy,http://pan.baidu.com/s/1bAT1qm#z4vy,,
117,爱看豆全站资源打包,ttad,http://pan.baidu.com/s/1dF4sah7#ttad,,
119,新编剑桥史全集下载,百度网盘密码：4p8w?????, http://pan.baidu.com/s/1ckfvWi ,,
121,kindle书库打包下载,jd62,http://pan.baidu.com/s/1miReuEG#jd62,,
123,汉译世界学术名著丛书,百度网盘密码：grsp?????, http://pan.baidu.com/s/1jI6jFOa ,,
125,银河帝国1-12全集下载+神们自己+永恒的终结,62x5,http://pan.baidu.com/s/1jINKF1G#62x5,,
127,976本6寸PDF格式书籍下载,gqna,http://pan.baidu.com/s/1bZVYDg#gqna,,
130,商务印书馆汉译世界名著 历史·地理类 93本,百度网盘密码：72f5?????, http://pan.baidu.com/s/1o8an45G ,,
133,英文原著一万册下载,百度网盘密码：3rbc?????,http://pan.baidu.com/s/1kU5RzJT ,,
135,商务印书馆汉译世界名著 哲学类 153本,百度网盘密码：gpv4?????,http://pan.baidu.com/s/1o8Os26Y ,,
138,商务印书馆汉译世界名著 政治·法律·社会类 118本下载,百度网盘密码：p3q7?????, http://pan.baidu.com/s/1pLOWxE7 ,,
141,商务印书馆汉译世界名著 经济类 109本下载,百度网盘密码：dtfr?????,http://pan.baidu.com/s/1gf8rKbT ,,
144,商务印书馆汉译世界名著 语言学类 5本下载,百度网盘密码：buq8?????,http://pan.baidu.com/s/1nvpOBbz ,,
149,中国国学大典5辑下载（缺3辑）,百度网盘密码：ct64?????, http://pan.baidu.com/s/1jIjjhrC ,,
151,二十世纪中国史学名著(共33卷),百度网盘密码： dtfa?????,http://pan.baidu.com/s/1c2c9Juo ,,
155,二十四史全译下载,百度网盘密码：ajyr?????,http://pan.baidu.com/s/1i5rYBT7 ,,
166,蔡志忠漫画系列下载 PDF格式,百度网盘密码：密码: ak7x?????,http://pan.baidu.com/s/1eSuM9pw ,,
169,古龙+金庸全集下载,百度网盘密码：93dq?????,http://pan.baidu.com/s/1mivWsmG,,
208,哈佛百年经典（38卷）下载,百度网盘密码： p1nq?????,http://pan.baidu.com/s/1jHP6wF8 ,,
