ID,书名,密码,百度盘,城通,天翼
15792,《故宫珍藏善本:阴阳五要奇书》,n8yr;0641,http://pan.baidu.com/s/1miwVKZu#n8yr,https://page71.ctfile.com/dir/11851471-23146482-46a7e7/,http://cloud.189.cn/t/RfquuuaURZVj#0641
17403,《晚清最后十八年：从甲午战争到辛亥革命（大全集）（套装共4册）》,qni4;0573,http://pan.baidu.com/s/1i5R6eqx#qni4,https://page71.ctfile.com/dir/11851471-23998185-6497df/,http://cloud.189.cn/t/ANBjIzVfYZre#0573
15544,《下午茶》,b0z2;6988,http://pan.baidu.com/s/1eSOmbC2#b0z2,https://page71.ctfile.com/dir/11851471-22973850-8d868e/,http://cloud.189.cn/t/qaMJ3qUVbiia#6988
15774,《七根凶简》,sfyl;2197,http://pan.baidu.com/s/1pKTJsQv#sfyl,https://page71.ctfile.com/dir/11851471-23122218-0aa737/,http://cloud.189.cn/t/fuaI7rMBBBvy#2197
15743,《从这里读懂第三帝国（套装共8册）》,i1zy;7461,http://pan.baidu.com/s/1dFCdf49#i1zy,https://page71.ctfile.com/dir/11851471-23095032-a8477b/,http://cloud.189.cn/t/neArmmNbe2eq#7461
11308,《极权主义的起源》,w88k;,http://pan.baidu.com/s/1dF8A0Kh#w88k,http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1499021030308&sk=24578ED11A6242943B095C80BF002EEF&ufi=5130531413546488&token=cloud14&sig=z1yCPhhqxHXS56zkxoBE78zj7Ec%3D,http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1499021030304&sk=FD5D0BEDAB27BACAC203D383E577659E&ufi=5130531413546510&token=cloud3&sig=E6KQsrDHEMXhrRgCvWqpLriwQZg%3D#
15220,《清明上河图密码4:隐藏在千古名画中的阴谋与杀局》,71gt;,http://pan.baidu.com/s/1o7RcYBS#71gt,http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1500182912956&sk=4650ECCB3BBC9AEC9B9FBD08FAFC6D78&ufi=2149021592648704&token=cloud4&sig=O6Fb25GvJQM5eylTGrOBMX8GcVM%3D,https://page71.ctfile.com/dir/11851471-22948206-fc8b07/#
15571,《镇魂歌:不夜城2》,en00;4169,http://pan.baidu.com/s/1eS49jBO#en00,https://page71.ctfile.com/dir/11851471-22973871-b98948/,http://cloud.189.cn/t/ZjyqArZVFj22#4169
11101,《张德芬身心灵四部曲（套装共4部）》,yy48;,http://pan.baidu.com/s/1bo8xIqj#yy48,http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1500267248605&sk=6065D28083473231C78F3884E226D7DC&ufi=3147111391211290&token=cloud16&sig=zHkqGIen%2B%2B4FcvXZwOlJql9B31U%3D,http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1500267248595&sk=4650ECCB3BBC9AEC9B9FBD08FAFC6D78&ufi=5149021395552544&token=cloud4&sig=np7JuS2Vi6dFuQPhZBLDcpixjvE%3D#
9459,《名门》,hos6;8138,http://pan.baidu.com/s/1bpaLCbd#hos6,http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_2BF548EF7187BFC1783590C8FA9CB76340B5C024D30B847BE8BA785152A146C5B4209ABD054A278E8C71DF384066AA952932FE50D838620039C9482FF74D5CCE3C4529786CA34D153FC2E62E8DAFF09ECCCCFB39E348CD8DBDE60212A593826B4A61C58AB5D25CADC2145A3766CB4DD31E1528D946F1401C8681DCE70AE1116FD128405F,http://download.cloud.189.cn/v5/downloadFile.action?downloadRequest=1_2149A9F5E5F241813788982DAFFFDB47D5180CC7718E77A7ED08CD0F6423197E1D715C2F991C79DD766BBA98D49EAAB1AC7B1D3B339B26DF62396CBB38F4EC9515BF096C52EFF73F2470E1E57364ECB58FF3D46FD16085A2CE76DB74D1051B25E49781253CEC7A55714024AE47D9736DED496B9EFEBA1670AC634E0F87B3F85FE50849F3#8138
