ID,书名,密码,链接
4103,《流血的仕途:李斯与秦帝国（上+下）》,百度网盘密码：jicy     ,{'百度网盘': 'https://pan.baidu.com/s/1skJXjHV'}
1144,《兰陵缭乱》,百度网盘密码：u57e     ,{'百度网盘': 'http://pan.baidu.com/s/1c2dXarm'}
10494,《生死·朝圣:跨越八年寻找经幡的灵魂》,百度网盘密码：a5qa     ,"{'百度网盘': 'http://pan.baidu.com/s/1mhB2qW4', 'EPUB格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1498832053489&sk=98A6737B325C52C84D55218BF66D57AA&ufi=4149821356489184&token=cloud15&sig=oFlNwsFj6DT2bk2pVnBHiqAEeIc%3D', 'MOBI格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1498832053457&sk=FD5D0BEDAB27BACAC203D383E577659E&ufi=4135051356491050&token=cloud3&sig=6TZ2D%2BH7ZR2woEEPe%2Fu%2FreF88%2Bg%3D', None: 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1498832053483&sk=FD5D0BEDAB27BACAC203D383E577659E&ufi=1149021658822039&token=cloud3&sig=wGZ5qPkL5brDsPAD80BOm%2Fbq71M%3D'}"
166,蔡志忠漫画系列下载 PDF格式,百度网盘密码：密码: ak7x     ,{'百度网盘': 'http://pan.baidu.com/s/1eSuM9pw'}
15147,《南极绝恋》,百度网盘密码：1waj     ,"{'百度网盘': 'http://pan.baidu.com/s/1pLqdwVp', 'EPUB格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1500090553311&sk=98A6737B325C52C84D55218BF66D57AA&ufi=1149121885641092&token=cloud15&sig=%2FM8b5xvHVZoc057Dp0058l7Ah4I%3D', None: 'https://page71.ctfile.com/dir/11851471-22948164-289a6f/', 'MOBI格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1500090553301&sk=FD5D0BEDAB27BACAC203D383E577659E&ufi=4147111584807655&token=cloud3&sig=PbNL5mI1nngTLXE9XQ8kDeDstdc%3D'}"
15452,《时光倒流的女孩（自制多看版）》,百度网盘密码：m9gk     ,"{'百度网盘': 'http://pan.baidu.com/s/1nvK9RYh', None: 'https://page71.ctfile.com/dir/11851471-22978767-06a685/'}"
395,燕垒生作品集,百度网盘密码：mrgc     ,{'百度网盘': 'http://pan.baidu.com/s/1pLUwnVH'}
1758,《恶童日记》,百度网盘密码：6jja     ,{'百度网盘': 'http://pan.baidu.com/s/1pLChn9T'}
2608,《批判性思维套装共6册》,百度网盘密码：ia2b     ,{'百度网盘': 'https://pan.baidu.com/s/1o7DpKZC'}
817,《步步生莲》【全本】,百度网盘密码：iuw9     ,{'百度网盘': 'http://pan.baidu.com/s/1kVNJptH'}
10657,《严肃男人陈佩斯》,百度网盘密码：7iyr     ,"{'百度网盘': 'http://pan.baidu.com/s/1mi9aUfu', 'EPUB格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1499342462828&sk=24578ED11A6242943B095C80BF002EEF&ufi=5139421372663825&token=cloud14&sig=IV0a8LQGqgqDFYpG6qzcH6gk2as%3D', 'MOBI格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1499342462839&sk=24578ED11A6242943B095C80BF002EEF&ufi=5139421372663826&token=cloud14&sig=zSiSPBm3pEv28Pz2qiYgkSzINy8%3D', None: 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1499342462847&sk=24578ED11A6242943B095C80BF002EEF&ufi=6139411349838127&token=cloud14&sig=mZHmolw2ilqWZWwt9FpiOXfI5FA%3D'}"
11500,《核与蟹（原子炉の蟹）》,百度网盘密码：ynvh     ,"{'百度网盘': 'http://pan.baidu.com/s/1jIE6djo', 'EPUB格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1499125294180&sk=24578ED11A6242943B095C80BF002EEF&ufi=1149021714570769&token=cloud14&sig=TWIruNqxW%2BenY2OY%2BU3Lka4QlFk%3D', 'MOBI格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1499125294163&sk=98A6737B325C52C84D55218BF66D57AA&ufi=3149821416784704&token=cloud15&sig=5CNoSWlHnAp4IbohFIYcbsUQK18%3D'}"
1001,《亡者归来》,百度网盘密码：d3tc     ,{'百度网盘': 'http://pan.baidu.com/s/1nuR3ksL'}
