ID,书名,密码,Pass,链接
11939,《滴水不漏》,百度网盘密码：elcw     ,{'百度网盘密码': 'elcw'},"{'MOBI格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1499951458633&sk=24578ED11A6242943B095C80BF002EEF&ufi=2152221435427408&token=cloud14&sig=4wXRpRtrgNlzh%2FBYPjCZuPKlsjU%3D', 'EPUB格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1499951458640&sk=98A6737B325C52C84D55218BF66D57AA&ufi=5149821440817797&token=cloud15&sig=deAYl48aoETNBE9dWqegHcCkfos%3D', '百度网盘': 'http://pan.baidu.com/s/1i5Jssst'}"
12825,《长征》,百度网盘密码：yppi     ,{'百度网盘密码': 'yppi'},"{'AZW3格式(推荐)': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1498635588392&sk=6065D28083473231C78F3884E226D7DC&ufi=4138151481406138&token=cloud16&sig=Ior5jSGjdDBJmBz3NgY%2BA%2BSExeg%3D', 'MOBI格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1498635588370&sk=98A6737B325C52C84D55218BF66D57AA&ufi=1138121782918180&token=cloud15&sig=Z1fNhIxlD1H%2F%2BaHSTDeW%2F8f871M%3D', 'EPUB格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1498635588381&sk=4650ECCB3BBC9AEC9B9FBD08FAFC6D78&ufi=1138121782918066&token=cloud4&sig=Xm%2BANiYZdlGN15oguL4uBz76%2BQk%3D', '百度网盘': 'http://pan.baidu.com/s/1pLsILzP'}"
15617,《肯尼亚，很甜:“85后三毛”肯尼亚90天独行记》,百度网盘密码：wfla     ,{'百度网盘密码': 'wfla'},"{'城通网盘(备份)': 'https://page71.ctfile.com/dir/11851471-22989096-6a8ffc/', '百度网盘': 'http://pan.baidu.com/s/1dF29zLf'}"
16377,《美西任我行：两万五千里美西自驾游记》,百度网盘密码：2ttb     天翼云盘密码：0619,"{'百度网盘密码': '2ttb', '天翼云盘密码': '0619'}","{'天翼云盘(推荐)': 'http://cloud.189.cn/t/6juuMzaYne2y', '城通网盘(备份)': 'https://page71.ctfile.com/dir/11851471-23439618-59eb9e/', '百度网盘': 'http://pan.baidu.com/s/1hrNmF9y'}"
14925,《明将军系列（多看版，套装共6本）》,百度网盘密码：hgxn     ,{'百度网盘密码': 'hgxn'},"{'城通网盘(备份)': 'https://page71.ctfile.com/dir/11851471-22946340-6ee5be/', 'MOBI格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1499768954954&sk=6065D28083473231C78F3884E226D7DC&ufi=2138451580683081&token=cloud16&sig=jyhY23wnfOS9f5%2FLUiifWwQ%2BcPg%3D', 'EPUB格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1499768954964&sk=6065D28083473231C78F3884E226D7DC&ufi=5138421586449744&token=cloud16&sig=Wj7yxqZKzOjNkExvwWnty1CP6Vw%3D', '百度网盘': 'http://pan.baidu.com/s/1jIqnoIa'}"
15599,《最初不过你好》,百度网盘密码：j350     ,{'百度网盘密码': 'j350'},"{'城通网盘(备份)': 'https://page71.ctfile.com/dir/11851471-22989081-1d3b43/', '百度网盘': 'http://pan.baidu.com/s/1jIn6gOQ'}"
16830,《书剑恩仇录（精校精制，三联插图本）》,百度网盘密码：3zcu     天翼云盘密码：0130,"{'百度网盘密码': '3zcu', '天翼云盘密码': '0130'}","{'天翼云盘(推荐)': 'http://cloud.189.cn/t/B3Y7VneuqM3i', '城通网盘(备份)': 'https://page71.ctfile.com/dir/11851471-23749203-3f9f5c/', '百度网盘': 'http://pan.baidu.com/s/1qXD36n6'}"
12726,《大明王朝（全四册）》,百度网盘密码：jfpq     ,{'百度网盘密码': 'jfpq'},"{'AZW3格式(推荐)': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1498467412745&sk=4650ECCB3BBC9AEC9B9FBD08FAFC6D78&ufi=4149821477879856&token=cloud4&sig=1ApdqUgWs6aukTAKAOCGNQHiFu4%3D', 'MOBI格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1498467412755&sk=24578ED11A6242943B095C80BF002EEF&ufi=8149121485715628&token=cloud14&sig=byxQ%2BzMIvR4q5eUz8mgG8%2FNm%2Fv4%3D', 'EPUB格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1498467412764&sk=6065D28083473231C78F3884E226D7DC&ufi=8149121485715596&token=cloud16&sig=iFK%2B24oan7mUDFNnQ5r2Q7JGNKs%3D', '百度网盘': 'http://pan.baidu.com/s/1czoLoq'}"
12135,《周梅森作品辑录（套装共15册）》,百度网盘密码：jgo7     ,{'百度网盘密码': 'jgo7'},"{'AZW3格式(推荐)': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1500008372959&sk=4650ECCB3BBC9AEC9B9FBD08FAFC6D78&ufi=8152221449769740&token=cloud4&sig=UodORNCyAKY7Jk7SL4u7HlbZ8x0%3D', 'MOBI格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1500008372951&sk=24578ED11A6242943B095C80BF002EEF&ufi=6147111428155778&token=cloud14&sig=OXnho4X8XRUP2sB479jDTm%2F2hv0%3D', 'EPUB格式': 'http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1500008372971&sk=4650ECCB3BBC9AEC9B9FBD08FAFC6D78&ufi=4149821441996211&token=cloud4&sig=q%2Bnj0hLUEtnhEe%2Fc1aISTdueAR8%3D', '百度网盘': 'http://pan.baidu.com/s/1bpCdnJp'}"
16920,《一条狗的使命》,百度网盘密码：l5cg     天翼云盘密码：3486,"{'百度网盘密码': 'l5cg', '天翼云盘密码': '3486'}","{'天翼云盘(推荐)': 'http://cloud.189.cn/t/YfyuaeRV7nQj', '城通网盘(备份)': 'https://page71.ctfile.com/dir/11851471-23802290-3593ed/', '百度网盘': 'http://pan.baidu.com/s/1geNptBH'}"
